year,depth,bin
17,0-5,above 13
17,10,above 13
17,20,below 13
17,25,below 13
17,30,below 13
18,0,above 13
18,5,above 13
18,10,above 13
18,12,above 13
18,17,below 13
18,20,below 13
18,25,below 13
18,35,below 13
19,5,above 13
19,12,above 13
19,15,below 13
19,17,below 13
19,25,below 13
19,35,below 13
21,5,above 13
21,10,above 13
21,14,below 13
21,18,below 13
21,22,below 13
21,27,below 13
21,35,below 13
17,0-5m,above 13
17,10m,above 13
17,15m,below 13
17,20m,below 13
17,27m,below 13
17,15-1,below 13
17,15-2,below 13
17,15-3,below 13
17,20-1,below 13
17,20-2,below 13
17,20-3,below 13
17,24-1,below 13
17,24-2,below 13
17,24-3,below 13
19,0,above 13
19,10,above 13
19,16,below 13
19,17,below 13
19,18,below 13
19,20,below 13
19,30,below 13
20,5,above 13
20,10,above 13
20,15,below 13
20,18,below 13
20,20,below 13
20,22,below 13
20,25,below 13
20,30,below 13
18,0,above 13
18,5,above 13
18,12,above 13
18,15,below 13
18,17,below 13
18,20,below 13
18,30,below 13
18,35,below 13